block,index,ax_raw,ay_raw,az_raw
1,563,8189,-156,-590
1,564,8194,-149,-616
1,565,8191,-148,-621
1,566,8178,-157,-633
1,567,8189,-152,-622
1,568,8193,-152,-616
1,569,8198,-148,-601
1,570,8204,-165,-594
1,571,8196,-166,-574
1,572,8186,-153,-578
1,573,8180,-152,-593
1,574,8186,-155,-612
1,575,8197,-174,-603
1,576,8199,-161,-593
1,577,8193,-149,-596
1,578,8180,-152,-585
1,579,8177,-156,-590
1,580,8175,-152,-597
1,581,8189,-153,-607
1,582,8196,-155,-618
1,583,8195,-166,-595
1,584,8186,-168,-610
1,585,8187,-161,-612
1,586,8189,-170,-600
1,587,8194,-167,-602
1,588,8196,-174,-605
1,589,8200,-181,-611
1,590,8200,-182,-615
1,591,8201,-163,-607
1,592,8187,-158,-589
1,593,8194,-156,-603
1,594,8193,-160,-613
1,595,8182,-166,-624
1,596,8189,-155,-639
1,597,8189,-159,-633
1,598,8191,-167,-636
1,599,8181,-162,-627
1,600,8187,-161,-633
1,601,8193,-157,-622
1,602,8209,-154,-615
1,603,8198,-156,-607
1,604,8181,-148,-588
1,605,8177,-152,-609
1,606,8186,-165,-615
1,607,8179,-167,-599
1,608,8179,-166,-589
1,609,8187,-175,-594
1,610,8199,-168,-588
1,611,8190,-164,-593
1,612,8185,-145,-590
1,613,8187,-135,-576
1,614,8184,-150,-586
1,615,8199,-165,-607
1,616,8198,-152,-612
1,617,8188,-151,-626
1,618,8179,-149,-624
1,619,8178,-153,-621
1,620,8178,-154,-612
1,621,8180,-154,-613
1,622,8205,-153,-611
1,623,8201,-154,-627
1,624,8193,-158,-627
1,625,8186,-151,-627
1,626,8180,-146,-633
1,627,8173,-148,-609
1,628,8180,-160,-593
1,629,8179,-155,-599
1,630,8179,-147,-625
1,631,8172,-149,-620
1,632,8173,-157,-618
1,633,8174,-156,-602
1,634,8188,-147,-594
1,635,8190,-154,-596
1,636,8189,-165,-597
1,637,8193,-164,-616
1,638,8191,-153,-617
1,639,8195,-156,-610
1,640,8204,-157,-606
1,641,8204,-144,-602
1,642,8213,-158,-597
1,643,8206,-161,-601
1,644,8194,-156,-592
1,645,8193,-159,-594
1,646,8191,-159,-597
1,647,8188,-159,-564
1,648,8189,-152,-587
1,649,8186,-156,-597
1,650,8194,-166,-599
1,651,8191,-166,-601
1,652,8193,-159,-620
1,653,8191,-163,-615
1,654,8188,-163,-624
1,655,8191,-164,-615
1,656,8216,-163,-610
1,657,8204,-156,-587
1,658,8192,-151,-594
1,659,8190,-155,-583
1,660,8187,-153,-604
1,661,8177,-157,-602
1,662,8186,-150,-597
1,663,8199,-146,-588
1,664,8210,-152,-602
1,665,8208,-154,-594
1,666,8194,-150,-587
1,667,8184,-134,-590
1,668,8191,-132,-600
1,669,8188,-140,-581
1,670,8197,-139,-578
1,671,8195,-150,-596
1,672,8199,-153,-601
1,673,8197,-152,-607
1,674,8205,-163,-623
1,675,8193,-156,-610
1,676,8196,-161,-588
1,677,8194,-159,-588
1,678,8196,-154,-600
1,679,8191,-155,-590
1,680,8187,-156,-583
1,681,8189,-160,-585
1,682,8198,-153,-597
1,683,8188,-150,-604
1,684,8193,-140,-597
1,685,8180,-141,-597
1,686,8184,-151,-586
1,687,8188,-158,-574
